word|count|in title 1|% 1|in title 1 diff|in title 2|% 2|attribute type
strip|277|94|33.94%|183|159|57.40%|['Collection Name', 'Bullet01', 'Bullet02', 'Bullet09', 'Bullet07', 'Bullet04', 'Fastener Type', 'Under Cabinet Light Type', 'Commercial Light Type', 'Shape', 'Bullet03', 'Bullet05']
9|340|157|46.18%|183|264|77.65%|['Number of Drawers', 'Actual Tree Height (ft.)', 'Bullet01', 'Bullet07', 'Width x Height x Depth', 'Inner Bowl Front to Back Width (in.)', 'Product Width (in.)', 'Bullet08', 'Blade Length (In.)', 'Glass Type', 'Assembled Width (in.)', 'Wheel Diameter (in.)', 'Sheet Width (in.)', 'Kitchen Sink Top to Bottom Depth (in.)', 'Bullet06', 'Sheet Length (in.)', 'Assembled Height (in.)', 'Maximum tree height', 'Umbrella Canopy Diameter (ft.)', 'Package Quantity', 'Bullet03', 'Product Height (in.)', 'Assembled Depth (in.)', 'Number of rolls included', 'Product Depth (in.)', 'Container Height (in.)', 'Voltage (volts)', 'Bullet04', 'Product Length (in.)', 'Bowl Below Counter Height (in.)', 'Approximate Rug Size', 'Width (in) x Length (in)', 'Bullet02', 'Cut-Out Front to Back Width (in.)', 'Approximate Size (WxL)', 'Cord Length (ft.)', 'Product Thickness (in.)', 'Cut-Out Below Counter Depth (in.)', 'Kitchen Sink Front to Back Width (In.)', 'Bullet05']
&|182|0|0.00%|182|3|1.65%|['Bullet10', 'Bullet01', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Specialty Bulb Type', 'Paint/Stain Clean Up', 'MFG Brand Name', 'Power Tool Product Type', 'Fits brands', 'Stainable/Paintable', 'Application', 'Bullet03', 'Bullet05', 'Flooring type(s) used with']
s|190|8|4.21%|182|186|97.89%|['Hook types']
pull|349|167|47.85%|182|281|80.52%|['Builders Hardware Product Type', 'Faucet Features', 'Product Type', 'Bullet06', 'Trash and Recycling Features', 'Cabinet Pull Type', 'Bullet02', 'Bullet01', 'Bullet13', 'Accessory Type', 'Bullet07', 'Bullet04', 'Kitchen Faucet Type', 'Bullet03', 'Bullet05', 'Plumbing Part Type', 'Switch Mechanism']
50|413|233|56.42%|180|346|83.78%|['Wattage (watts)', 'Maximum Weight Capacity (lb.)', 'Top Width (in.)', 'Package count', 'Amperage (amps)', 'Light count', 'Bullet01', 'Hose Length (ft.)', 'Bullet13', 'Bottle Capacity', 'Product Weight (lb.)', 'Bullet07', 'Maximum Amperage (amps)', 'Mower Deck Width', 'Bullet12', 'Outside Height', 'Cutting Width (in.)', 'Fits models', 'Wire/Cable Length (ft.)', 'Assembled Width (in.)', 'Capacity (gallons)', 'Bullet06', 'Maximum amperage output (amps)', 'Number of Pieces', 'Number of Lights', 'Bullet14', 'Package Quantity', 'Bullet03', 'Product Height (in.)', 'Fastener length (in.)', 'Maximum Room Size (ft sq)', 'Product Depth (in.)', 'Air Volume (CFM)', 'Hose Length (ft)', 'Tank Capacity (gallons)', 'Bullet04', 'Cabinet Width (in.)', 'Watt Equivalence', 'Product Length (ft.)', 'Unrolled mesh length (ft.)', 'Roll Length (ft.)', 'Bullet02', 'Package Size (lb.)', 'Cord Length (ft.)', 'Bullet05', 'Screw Length', 'Belt length (in.)', 'Hose length (in.)']
anderson|185|6|3.24%|179|6|3.24%|['Bullet03', 'Brand compatibility', 'Bullet01', 'Bullet04']
dry|227|48|21.15%|179|150|66.08%|['Materials removed', 'Dry/wet use', 'Bullet06', 'Wall Decal Theme', 'Bullet01', 'Bullet02', 'Carpet and Upholstery Cleaner Type', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Care Instructions', 'Bullet08', 'Bullet03', 'Bullet05', 'Color/Finish', 'Memo Board Type', 'Cushion and Pillow Features']
room|296|118|39.86%|178|123|41.55%|['Pattern/theme', 'Light Control', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Product type', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet11', 'Bullet03', 'Color/Finish', 'Bullet05']
house|436|258|59.17%|178|289|66.28%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Color', 'Bullet09', 'MFG Brand Name', 'Bullet04', 'Water filter system type', 'Water Filtration System Type', 'Electrical Product Type', 'Bullet12', 'Bullet03', 'Color/Finish', 'Air Treatment Product Type', 'Bullet05', 'Room Size (sq. ft.)', 'Brand/Model Compatibility']
non|192|15|7.81%|177|104|54.17%|['Bullet03', 'Paint Product Type', 'Bullet02', 'Bullet01', 'Bullet04']
glue|260|83|31.92%|177|88|33.85%|['Bullet10', 'Bullet06', 'Glue/epoxy type', 'Bullet02', 'Bullet01', 'Paint Product Type', 'Bullet09', 'Bullet13', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Office Supply Type', 'Bullet12', 'Collation material', 'Bullet08', 'Bullet03', 'Bullet05', 'Bullet11', 'Bullet16', 'Adhesive Product Type']
racks|177|1|0.56%|176|1|0.56%|['Storage Product Type', 'Kitchen Product Type', 'Bullet01']
clamps|208|32|15.38%|176|32|15.38%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Maintenance, Repair & Supplies Product Type', 'Bullet03', 'Bullet05']
plants|215|40|18.60%|175|40|18.60%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Plant category', 'Plant type', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Botanical Name', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05']
flex|256|81|31.64%|175|151|58.98%|['Bullet03', 'Bullet04', 'Application type', 'Bullet01', 'Bullet02']
moulding|370|195|52.70%|175|201|54.32%|['Collection Name', 'Bullet06', 'Bullet01', 'Bullet02', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet03', 'Bullet05', 'Bullet17', 'Ceiling Product Type']
sheet|383|208|54.31%|175|236|61.62%|['Bullet10', 'Bullet06', 'Cleaning Features', 'Bullet01', 'Bullet02', 'Bullet04', 'Fastener Type', 'Primary Use', 'Pad description', 'Bullet08', 'Bullet03', 'Flooring Product Type', 'Bullet05', 'Metal Stock Type']
showers|176|2|1.14%|174|2|1.14%|[]
combo|424|250|58.96%|174|250|58.96%|['Compressor/Air Tool Features', 'Cordless Tool Type', 'Bath Faucet Type', 'Bullet06', 'Bullet01', 'Outlet Type', 'Electronics Features', 'Bullet04', 'Tools Product Type', 'Bullet08', 'Bullet03', 'Appliance Type', 'Wall Oven Configuration']
nail|226|53|23.45%|173|192|84.96%|['Bullet10', 'Bullet06', 'Combo Kit Type', 'Bullet01', 'Bullet02', 'Bullet13', 'Bullet07', 'Fastener Type', 'Bullet04', 'Primary Use', 'Tools Product Type', 'Bullet12', 'Bullet08', 'Material', 'Nail Type', 'Bullet03', 'Bullet05', 'Bullet11', 'Color/Finish', 'Tools Included']
porch|260|87|33.46%|173|89|34.23%|['Bullet06', 'Bullet01', 'Bullet02', 'Paint/Stain/Waterproofer Product Type', 'Bullet09', 'MFG Brand Name', 'Bullet04', 'Bullet03', 'Color/Finish']
90|222|50|22.52%|172|214|96.40%|['Wattage (watts)', 'Watt Equivalence', 'Product Length (ft.)', 'Package count', 'Bend Degree', 'Bullet01', 'Bullet02', 'Bullet04', 'Maximum Amperage (amps)', 'Bend (Degrees)', 'Bullet14', 'Bullet03', 'Bullet05', 'Load capacity per caster (lb.)']
burner|232|60|25.86%|172|178|76.72%|['Bullet10', 'Bullet06', 'Fits Brand/Models', 'Bullet02', 'Bullet13', 'Bullet01', 'Bullet09', 'Bullet07', 'Bullet04', 'Grill Part Type', 'Bullet14', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05', 'Grill Features']
stain|594|422|71.04%|172|447|75.25%|['Bullet10', 'Primer Purpose', 'Bullet06', 'Bullet01', 'Sheen', 'Bullet02', 'Paint Product Type', 'Bullet09', 'Bullet15', 'Coating Product Category', 'MFG Brand Name', 'Bullet04', 'Bullet07', 'Design', 'Bullet08', 'Bullet03', 'Bullet05', 'Color/Finish', 'Interior Paint & Stains Product Type']
decker|173|2|1.16%|171|171|98.84%|['Bullet10', 'Bullet06', 'Compatibility', 'Bullet02', 'Bullet01', 'Bullet04', 'Fits brands', 'Bullet03', 'Bullet05']
rollers|182|11|6.04%|171|11|6.04%|['Bullet06', 'Window Repair Type', 'Bullet01', 'Bullet02', 'Door Repair Type', 'Bullet04', 'Bullet03', 'Bullet05', 'Roller Product Type']
dryer|458|287|62.66%|171|295|64.41%|['Bullet01', 'Bullet13', 'Bullet09', 'Bullet07', 'Bullet12', 'Bullet08', 'Appliance Type', 'Bullet06', 'Bullet18', 'Bullet14', 'Bullet11', 'Bullet03', 'Stacking Kit Model#', 'Bullet10', 'Brand compatibility', 'Bullet15', 'Bullet04', 'Compatible Appliance Type', 'Bullet16', 'Appliance Cord Type', 'Gas Vent Pipe and Fittings Accessory Type', 'Bullet02', 'Bath Accessory Type', 'Bullet05']
semi|177|8|4.52%|169|130|73.45%|['Color/Finish']
walls|178|9|5.06%|169|9|5.06%|['Bullet01', 'Bullet02', 'Shower Included Components', 'Accessory Type', 'Bullet04', 'Insulation Application Type', 'Bullet03', 'Bullet05']
hinges|194|25|12.89%|169|26|13.40%|['Commercial Hardware Type', 'Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
car|194|26|13.40%|168|47|24.23%|['Product Type', 'Bullet01', 'Bullet02', 'Bullet04', 'Type', 'Bullet12', 'Bullet16', 'Where to Use', 'Bullet03']
vac|198|30|15.15%|168|123|62.12%|['Bullet10', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Bullet03', 'Brand/Model Compatibility']
sensor|250|82|32.80%|168|87|34.80%|['Bullet06', 'Bullet01', 'Part/accessory type', 'Bullet02', 'Bullet09', 'Bullet07', 'Bullet04', 'Electrical Product Type', 'Bullet12', 'Garage Door Part/Accessory Type', 'Bullet08', 'Bullet03', 'Bullet05']
adhesive|342|174|50.88%|168|212|61.99%|['Materials removed', 'Bullet06', 'Product Type', 'Bullet01', 'Bullet02', 'Decor Product Type', 'Bullet09', 'Product type', 'Drywall Features', 'Bullet04', 'Bullet07', 'Type', 'Bullet12', 'Bullet08', 'Material', 'Bullet03', 'Flooring Product Type', 'Bullet05', 'Roofing Product Type', 'Adhesive Product Type', 'Bullet11']
mower|469|301|64.18%|168|351|74.84%|['Bullet01', 'Used with equipment type', 'Bullet13', 'Bullet09', 'Fits brands/models', 'Bullet07', 'Bullet12', 'Fits models', 'Bullet08', 'Lawn Mower Type', 'Bullet06', 'MFG Brand Name', 'Bullet18', 'Bullet14', 'Bullet11', 'Bullet03', 'Bullet10', 'Bullet15', 'Bullet04', 'Fits brands', 'Protection Plan Category', 'Bullet16', 'Belt type', 'Bullet02', 'Package Contents', 'Part Type', 'Bullet05']
tape|559|392|70.13%|167|402|71.91%|['Bullet01', 'Paint Product Type', 'Bullet09', 'Bullet07', 'Bullet08', 'Flooring Product Type', 'Adhesive Product Type', 'Bullet06', 'Product Type', 'Compatible tape style', 'MFG Brand Name', 'Office Supply Type', 'Under Cabinet Light Type', 'Hand Tool Type', 'Bullet03', 'Builders Hardware Product Type', 'Bullet10', 'Bullet04', 'Electrical Product Type', 'Mounting Method', 'Storage Product Type', 'Bullet02', 'Fish Tape, Rod or Lubricant', 'Bullet05']
bag|272|106|38.97%|166|157|57.72%|['Bullet06', 'Product Type', 'Bullet01', 'Bullet02', 'Included', 'Accessory Type', 'MFG Brand Name', 'Bullet04', 'Vacuum Accessory Type', 'Bullet14', 'Bullet08', 'Bullet03', 'Bullet05', 'Included Accessories', 'Brand/Model Compatibility']
driver|303|137|45.21%|166|259|85.48%|['Cordless Tool Type', 'Drill Bit Type(s) Included', 'Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Drill/ Driver Type', 'Bullet14', 'Hand Tool Type', 'Bullet11', 'Bullet03', 'Bullet05', 'Bullet08', 'Tools Included']
fireplace|405|239|59.01%|166|242|59.75%|['Bullet10', 'Product Type', 'Bullet06', 'Bullet01', 'Bullet02', 'Accessory Type', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet18', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05', 'Color/Finish']
100|231|66|28.57%|165|185|80.09%|['Wattage (watts)', 'Light count', 'Bullet01', 'Bullet07', 'Maximum Amperage (amps)', 'Wire/Cable Length (ft.)', 'Bullet06', 'Product Size (oz.)', 'Number of Pieces', 'Number of Lights', 'Package Quantity', 'Bullet03', 'Assembled Depth (in.)', 'Maximum Room Size (ft sq)', 'Air Volume (CFM)', 'Bullet04', 'Watt Equivalence', 'Unrolled mesh length (ft.)', 'Product Length (ft.)', 'Roll Length (ft.)', 'Bullet02', 'Total length (ft.)', 'Area Covered (Lineal Ft.)', 'Color Rendering Index', 'Bullet05', 'Lumens']
control|428|263|61.45%|165|279|65.19%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Package Contents', 'Included', 'Accessory Type', 'Bullet09', 'Electrical Features', 'Bullet07', 'Bullet04', 'Drywall Features', 'Shower System Product Type', 'Electrical Product Type', 'Door Style', 'Bullet20', 'Bullet11', 'Bullet03', 'Bullet05', 'Bullet08', 'Features']
half|200|36|18.00%|164|66|33.00%|['Bullet01', 'File Type']
heater|892|728|81.61%|164|777|87.11%|['Bullet01', 'Bullet13', 'Bullet09', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet17', 'Bullet06', 'MFG Brand Name', 'Heating Product Type', 'Outdoor Living Product Type', 'Bullet14', 'Bath Fan Features', 'Bullet11', 'Bullet03', 'Cover Type', 'Bullet10', 'Bullet15', 'Bullet04', 'Collection Name', 'Bullet02', 'Accessory type', 'Bullet05', 'Features']
treated|181|18|9.94%|163|133|73.48%|['Bullet06', 'Bullet01', 'Bullet02', 'Color', 'Bullet07', 'Bullet04', 'Type', 'Bullet12', 'Bullet03', 'Bullet05']
shelving|279|116|41.58%|163|118|42.29%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Bullet03', 'Bullet05', 'Storage Product Type']
washers|178|16|8.99%|162|16|8.99%|['Bullet10', 'Bullet06', 'Brand compatibility', 'Product Type', 'Bullet01', 'Bullet02', 'Fits brands/models', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
propane|353|191|54.11%|162|193|54.67%|['Bullet10', 'Bullet06', 'Fits Brand/Models', 'Bullet01', 'Power/Fuel Type', 'Bullet02', 'Gas Type', 'Bullet09', 'Bullet07', 'Bullet04', 'Primary Use', 'Grill/Smoker Fuel Type', 'Outdoor Living Product Type', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Included Items', 'Bullet05', 'Fuel type', 'Storage Unit Type']
decorative|417|255|61.15%|162|255|61.15%|['Bullet01', 'Decor Product Type', 'Artwork name', 'Specialty Bulb Type', 'Bullet07', 'Bullet08', 'Flooring Product Type', 'Bullet06', 'Type', 'Design', 'Bullet03', 'Bulb Type', 'Bullet04', 'Bulb Shape', 'Accessory/Part Type', 'Mirror Use', 'Glass Style', 'Collection Name', 'Bullet02', 'Decorative Accessory Product Type', 'Bullet05', 'Paneling/Planking Type']
12x12|161|0|0.00%|161|0|0.00%|['Approximate Tile Size']
sprinkler|280|119|42.50%|161|122|43.57%|['Hose Type', 'Bullet06', 'Kit Type', 'Bullet01', 'Bullet02', 'Bullet09', 'Irrigation System Component', 'Bullet07', 'Bullet04', 'Cable/Wire Type', 'Bullet08', 'Bullet03', 'Bullet05']
grass|353|192|54.39%|161|206|58.36%|['Plant Type', 'Seed Type', 'Bullet10', 'Bullet06', 'Grass Type', 'Bullet01', 'Bullet02', 'Rug Material', 'Bullet09', 'Weed Type', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Plant variety', 'Botanical Name', 'Pattern name', 'Bullet08', 'Bullet03', 'Color/Finish', 'Bullet05']
tables|160|0|0.00%|160|0|0.00%|['Bullet03', 'Bullet10', 'Bullet09', 'Bullet01']
pan|232|72|31.03%|160|107|46.12%|['Product Type', 'Head Style', 'Fastener Head Style', 'Bullet01', 'Bullet06', 'Bullet02', 'Bullet07', 'Bullet04', 'Cleaning Tool Type', 'Bullet03', 'Bullet05']
backsplash|282|123|43.62%|159|123|43.62%|['Bullet06', 'Bullet01', 'Decor Product Type', 'Bullet02', 'Kitchen Product Type', 'Bullet07', 'Bullet03', 'Bullet05']
plant|320|161|50.31%|159|197|61.56%|['Bullet10', 'Product Type', 'Bullet06', 'Liquid Fertilizer Type', 'Bullet01', 'Bullet02', 'Specialty Bulb Type', 'Bullet09', 'Landscape Supply Type', 'MFG Brand Name', 'Bullet07', 'Plant Support Type', 'Bullet04', 'Decorative Accessory Product Type', 'Plant variety', 'Bullet08', 'Dry Fertilizer Type', 'Bullet03', 'Bullet05', 'Bullet11']
heat|341|182|53.37%|159|232|68.04%|['Bullet10', 'Bullet06', 'Product Type', 'Bullet01', 'Bullet02', 'Bullet13', 'Paint Product Type', 'Alarm Type', 'Specialty Bulb Type', 'Bullet15', 'MFG Brand Name', 'Bullet09', 'Bullet04', 'Corded Tool Type', 'Thermostat Type', 'Bullet07', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05']
rack|379|221|58.31%|158|241|63.59%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'Accessory Type', 'Bullet09', 'Silverware Basket Location', 'Bullet04', 'Bullet12', 'Bullet16', 'Bullet11', 'Bullet03', 'Bullet05', 'Bullet08']
a/c|162|5|3.09%|157|5|3.09%|['Brand/Model Compatibility', 'Bullet02', 'Bullet01', 'Bullet04']
copper|575|418|72.70%|157|424|73.74%|['Bullet01', 'Bullet07', 'Material', 'Bullet08', 'Connection 1', 'Bullet06', 'MFG Brand Name', 'Fixture Color/Finish', 'Compatible Pipe Material', 'Connection', 'Bullet11', 'Bullet03', 'Pressure treatment chemical', 'Connection 2', 'Bullet10', 'Conductor Material', 'Pipe & Tubing Product Type', 'Bullet04', 'Cable/Wire Type', 'Electrical Product Type', 'Fitting material', 'Finish', 'Color Family', 'Bullet02', 'Color', 'Fixture Color/Finish Family', 'Finish Family', 'Bullet05', 'Color/Finish']
tv|277|121|43.68%|156|153|55.23%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Raceway Cord Covers System', 'Bullet07', 'Bullet04', 'Bullet12', 'Mount Type', 'Bullet11', 'Bullet03', 'Bullet05', 'Bullet08']
14|296|140|47.30%|156|209|70.61%|['Wattage (watts)', 'Number of Drawers', 'Amperage (amps)', 'Bullet01', 'Minimum Wire Capacity', 'Chain size', 'Bullet07', 'Product Width (in.)', 'Ladder Height (ft.)', 'Product Diameter (in.)', 'Assembled Width (in.)', 'Wheel Diameter (in.)', 'Maximum ladder length (ft.)', 'Fastener Callout Size', 'Capacity (gallons)', 'Bar Length (in.)', 'Battery capacity (mAh)', 'Bullet06', 'Frame Gauge', 'Minimum ladder length (ft.)', 'Bullet03', 'Product Height (in.)', 'Air Filter Size', 'Assembled Depth (in.)', 'Number of Steps', 'Maximum Wire Capacity', 'Product Depth (in.)', 'Bar length (in.)', 'Maximum expandable length (in.)', 'Gauge', 'Bullet04', 'Product Length (in.)', 'Approximate Width (ft.)', 'Cut-Out Left to Right Length (in.)', 'Assembled Length (in.)', 'Saw Blade Diameter (in)', 'Product Length (ft.)', 'Width (in.)', 'Blade Diameter', 'Bullet02', 'Slide Length (In.)', 'Shutter Width (in.)', 'Conductor Gauge', 'Nominal Product Length (ft.)', 'Bullet05', 'Nonslip tread']
paper|305|149|48.85%|156|216|70.82%|['Bullet06', 'Bullet01', 'Bullet02', 'Paint Product Type', 'Kitchen Product Type', 'Bullet07', 'Bullet04', 'Pattern name', 'Design', 'Drop Cloths Product Type', 'Material', 'Collation material', 'Bullet03', 'Bullet05', 'Color/Finish']
lamp|606|450|74.26%|156|489|80.69%|['Bullet10', 'Collection Name', 'Bullet06', 'Bullet01', 'Bullet02', 'Specialty Bulb Type', 'Outdoor Lighting Features', 'Bullet09', 'Bullet07', 'Bullet04', 'Cable/Wire Type', 'Electrical Product Type', 'Exterior Lighting Product Type', 'Bullet08', 'Exterior Lighting Accessory Type', 'Bullet03', 'Bullet05']
part|161|6|3.73%|155|30|18.63%|['Bullet06', 'Bullet01', 'Bullet09', 'Part Type', 'Bullet07', 'Bullet04', 'Outdoor Living Product Type', 'Bullet03', 'Paint/Stain Base Material']
hanger|280|125|44.64%|155|149|53.21%|['Product Type', 'Bullet06', 'Bullet01', 'Bullet02', 'Accessory Type', 'Product type', 'Bullet04', 'Bullet03', 'Bullet05']
mirrors|155|1|0.65%|154|1|0.65%|['Bullet04', 'Bullet05', 'Bullet01', 'Bullet02']
blade|548|394|71.90%|154|490|89.42%|['Bullet10', 'Bullet06', 'Product Type', 'Bullet01', 'Bullet02', 'Package Contents', 'Power Tool Features', 'Bullet09', 'Part Type', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Fits models', 'Hand Tool Type', 'Bullet08', 'Bullet03', 'Bullet05', 'Power Tool Accessory Type']
wet|213|60|28.17%|153|115|53.99%|['Dry/wet use', 'Tile Tool Type', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Type', 'Cleaning Tool Type', 'Bullet08', 'Bullet03', 'Bullet05', 'Color/Finish', 'Accessories/Parts Included']
pre|156|4|2.56%|152|117|75.00%|['Bullet04']
wheels|193|41|21.24%|152|42|21.76%|['Bullet06', 'Bullet01', 'Bullet02', 'Included', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05', 'Trailer Parts and Accessories']
l|248|96|38.71%|152|247|99.60%|['Bullet02', 'Rating', 'Bullet01', 'Bullet04']
72|273|121|44.32%|152|137|50.18%|['Top Width (in.)', 'Bullet01', 'Minimum Length (In.)', 'In-Store Availability', 'Downrod Length (in.)', 'Tub Length (in.)', 'Bullet07', 'Product top width (in.)', 'Product Width (in.)', 'Assembled Width (in.)', 'Roll Width (in.)', 'Shower Height (in.)', 'Screen width (in.)', 'Assembled Height (in.)', 'Tub Depth (in.)', 'Basin Width (in.)', 'Shower Width (in.)', 'Ceiling Fan Width (in.)', 'Bullet03', 'Product Height (in.)', 'Assembled Depth (in.)', 'Mirror Width (in.)', 'Product Depth (in.)', 'Number of Light Bulbs', 'Mirror Height (in.)', 'Door Size (WxH) in.', 'Bullet04', 'Cabinet Width (in.)', 'Product Length (in.)', 'Top weight (lb.)', 'Door Height (in.)', 'Width (in) x Length (in)', 'Bullet02', 'Top Height (in.)', 'Door Opening Height (In.)', 'Fits Opening Height (in.)', 'Bullet05', 'Maximum Product Length (in.)']
5/8|353|201|56.94%|152|280|79.32%|['Drywall Product Thickness (in.)', 'Washer Size', 'Bullet06', 'Bullet01', 'Bullet02', 'Arbor Size', 'Inside Diameter', 'Bit Diameter', 'Bullet04', 'Rope Diameter (in.)', 'Hose Diameter (in.)', 'Bullet08', 'Nail Length (In.)', 'Screw Length', 'Bullet05', 'Bullet03', 'Fastener Callout Size']
decking|201|50|24.88%|151|50|24.88%|['Bullet10', 'Bullet01', 'Bullet02', 'Primary Use', 'Type', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet03']
duct|364|213|58.52%|151|250|68.68%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Bullet15', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet14', 'Bullet11', 'Bullet03', 'Bullet05', 'Brand/Model Compatibility']
track|478|327|68.41%|151|383|80.13%|['Bullet10', 'Collection Name', 'Bullet06', 'Bullet01', 'Bullet02', 'Package Contents', 'Door Repair Type', 'Bullet09', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
plate|719|568|79.00%|151|593|82.48%|['Bullet01', 'Accessory Type', 'Bullet09', 'Electrical Features', 'Bullet12', 'Bullet08', 'Appliance Type', 'Bullet06', 'Router Part/Accessory Type', 'Connector recommendation', 'Bullet11', 'Bullet03', 'Bullet10', 'Builders Hardware Product Type', 'Casters Product Type', 'Bullet04', 'Electrical Product Type', 'Application Type', 'Wall Plate Configuration', 'Collection Name', 'Bullet02', 'Color/Finish', 'Bullet05']
screens|161|11|6.83%|150|11|6.83%|['Bullet06', 'Bullet01', 'Bullet02', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
off|188|38|20.21%|150|123|65.43%|['Product Type', 'Bullet06', 'Bullet01', 'Bullet02', 'Color', 'MFG Brand Name', 'Bullet04', 'Bullet03', 'Color/Finish', 'Engine Part Type', 'Air Tool Type']
22|236|86|36.44%|150|137|58.05%|['Wattage (watts)', 'Minimum Size of Television (In.)', 'Bullet01', 'Minimum Wire Capacity', 'Product Weight (lb.)', 'Inner Bowl Front to Back Width (in.)', 'Bullet12', 'Cutting Width (in.)', 'Product Width (in.)', 'Kitchen Sink Left to Right Length (In.)', 'Blade Length (In.)', 'Assembled Width (in.)', 'Bullet06', 'Assembled Height (in.)', 'Cabinet Depth (in.)', 'Basin Width (in.)', 'Bullet03', 'Product Height (in.)', 'Maximum Wire Capacity', 'Assembled Depth (in.)', 'Air Filter Size', 'Product Depth (in.)', 'Actual Product Height (in.)', 'Minimum expandable length (in.)', 'Insulation R-Value', 'Maximum expandable length (in.)', 'Bullet04', 'Cover Length (ft.)', 'Product Length (in.)', 'Maximum tile cut size rip (in.)', 'Splitting force (tons)', 'Inner Bowl Left to Right Length (in.)', 'Cut-Out Left to Right Length (in.)', 'Assembled Length (in.)', 'Width (in.)', 'Horsepower (hp)', 'Bullet02', 'Cover Width (ft.)', 'Slide Length (In.)', 'Air Filter Height (in.)', 'Top Depth (in.)', 'Number of Channels', 'Kitchen Sink Front to Back Width (In.)', 'Bullet05']
installation|183|34|18.58%|149|35|19.13%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'Bullet09', 'Accessory Type', 'Bullet15', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet14', 'Bullet18', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05']
curtain|356|207|58.15%|149|212|59.55%|['Pattern/theme', 'Curtain Type', 'Bullet06', 'Bullet01', 'Bath Accessory Type', 'Bullet02', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Bullet05']
stones|155|7|4.52%|148|7|4.52%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet04', 'Bullet03', 'Bullet05', 'Color/Finish']
plank|254|106|41.73%|148|121|47.64%|['Board Form', 'Bullet01', 'Bullet02', 'Bullet04', 'Pattern name', 'Material', 'Shape', 'Bullet03', 'Flooring Product Type', 'Color/Finish', 'Paneling/Planking Type']
extension|443|295|66.59%|148|302|68.17%|['Ladder Type', 'Bullet06', 'Bullet01', 'Bullet02', 'Accessory Type', 'Drywall Features', 'Bullet04', 'Electrical Product Type', 'Type', 'Vacuum Accessory Type', 'Garage Door Part/Accessory Type', 'Bullet03', 'Plumbing Part Type', 'Bullet05', 'Appliance Cord Type', 'Trimmer Attachment Type']
anchors|178|31|17.42%|147|31|17.42%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08']
leaf|202|55|27.23%|147|56|27.72%|['Bullet06', 'Bullet01', 'Cushion Color or Pattern', 'Bullet02', 'Garden Center Tool Type', 'MFG Brand Name', 'Vacuum Type', 'Bullet07', 'Fixture Color/Finish', 'Bullet04', 'Bullet03', 'Color/Finish', 'Bullet05']
